Source,Target,Weight,Type
72,36,58.933883487075406,undirected
760,410,55.791886738221095,undirected
410,31,60.31454218300911,undirected
36,729,52.81460575263835,undirected
144,262,56.41615442953845,undirected
112,724,57.86319096338387,undirected
566,894,56.735088314133,undirected
643,360,55.50338285758063,undirected
440,31,57.53773712192182,undirected
882,376,55.06014778832606,undirected
178,31,57.97372190049194,undirected
348,442,57.4721169611707,undirected
710,242,57.15238033000044,undirected
784,191,58.56299873376247,undirected
276,724,55.95809934053514,undirected
76,104,56.54308096929779,undirected
516,376,54.0015299370809,undirected
191,616,57.063329197932376,undirected
208,31,68.20005496761712,undirected
231,392,59.076806956318165,undirected
170,678,53.59526766356046,undirected
512,792,53.184944453812314,undirected
336,566,57.671269729761526,undirected
470,566,55.64305719542105,undirected
418,376,57.34004193544099,undirected
112,858,56.429786575935665,undirected
32,340,57.27520745573391,undirected
887,854,52.87623374725406,undirected
270,104,52.03629250023201,undirected
710,376,52.7768844552283,undirected
156,756,56.469114214507236,undirected
104,566,54.47160711114431,undirected
682,48,56.77532314362007,undirected
324,340,53.99139393195233,undirected
24,48,55.73520765407024,undirected
703,336,59.02125570510907,undirected
152,233,51.0169076206812,undirected
682,398,62.045776326195636,undirected
706,792,54.649195615266535,undirected
300,104,54.14177428222767,undirected
548,583,52.57531953743151,undirected
