Source,Target,ID,Weight,Type
226,682,0,4.486571879936808,directed
226,68,1,,directed
226,498,2,,directed
226,8,3,,directed
226,222,4,,directed
226,756,5,,directed
226,4,6,,directed
226,703,7,,directed
226,188,8,,directed
226,784,9,,directed
226,466,10,,directed
226,807,11,,directed
226,180,12,,directed
226,454,13,,directed
226,332,14,,directed
226,428,15,,directed
226,76,16,,directed
226,752,17,,directed
226,800,18,3.875812870209367,directed
226,31,19,3.8436800894854586,directed
226,328,20,,directed
226,208,21,,directed
226,28,22,,directed
226,524,23,,directed
226,376,24,,directed
226,116,25,,directed
226,132,26,,directed
226,12,27,,directed
226,768,28,,directed
226,826,29,4.245539912430445,directed
226,512,30,,directed
226,450,31,,directed
226,414,32,,directed
226,275,33,,directed
226,203,34,,directed
226,659,35,,directed
226,352,36,,directed
226,340,37,,directed
226,36,38,,directed
226,360,39,,directed
226,398,40,,directed
226,762,41,,directed
226,276,42,,directed
226,144,43,,directed
226,654,44,,directed
226,662,45,,directed
226,724,46,,directed
226,50,47,,directed
226,96,48,,directed
226,196,49,,directed
226,178,50,,directed
226,894,51,,directed
226,624,52,3.912583726061353,directed
226,388,53,,directed
226,548,54,,directed
226,678,55,,directed
226,434,56,4.004116237545047,directed
226,438,57,,directed
226,380,58,,directed
226,250,59,4.130153805413607,directed
226,268,60,,directed
226,504,61,,directed
226,694,62,,directed
226,320,63,,directed
226,462,64,,directed
226,51,65,,directed
226,876,66,,directed
226,56,67,,directed
226,336,68,,directed
226,740,69,,directed
226,480,70,,directed
226,660,71,,directed
226,348,72,,directed
226,300,73,,directed
226,728,74,,directed
226,600,75,,directed
226,887,76,,directed
226,634,77,,directed
226,686,78,,directed
226,704,79,,directed
226,242,80,,directed
226,104,81,,directed
226,604,82,,directed
226,410,83,,directed
226,296,84,,directed
226,90,85,,directed
226,262,86,,directed
226,496,87,,directed
20,643,88,,directed
20,156,89,,directed
20,356,90,,directed
20,174,91,,directed
20,246,92,,directed
20,882,93,,directed
20,408,94,,directed
20,192,95,,directed
20,578,96,,directed
20,417,97,,directed
20,120,98,,directed
20,232,99,,directed
20,795,100,,directed
20,716,101,,directed
20,674,102,4.152348229027739,directed
20,508,103,,directed
20,48,104,,directed
20,854,105,,directed
20,368,106,,directed
20,231,107,,directed
20,308,108,,directed
20,702,109,,directed
20,108,110,,directed
20,266,111,,directed
20,191,112,,directed
20,324,113,,directed
20,364,114,,directed
20,426,115,,directed
20,840,116,4.250454502526327,directed
20,710,117,,directed
20,764,118,,directed
20,418,119,,directed
20,818,120,,directed
20,780,121,,directed
20,288,122,,directed
20,440,123,,directed
20,233,124,,directed
20,729,125,,directed
20,798,126,,directed
20,804,127,,directed
20,52,128,,directed
20,384,129,,directed
20,84,130,,directed
20,430,131,,directed
20,528,132,,directed
20,646,133,,directed
20,212,134,,directed
20,690,135,,directed
20,372,136,4.069274134288602,directed
20,64,137,,directed
20,586,138,,directed
20,442,139,,directed
20,32,140,,directed
20,112,141,4.21875,directed
20,834,142,,directed
20,140,143,,directed
20,748,144,,directed
20,860,145,4.0854978354978355,directed
20,585,146,,directed
20,136,147,,directed
20,204,148,,directed
20,392,149,,directed
20,478,150,,directed
20,218,151,,directed
20,458,152,,directed
20,344,153,,directed
20,584,154,,directed
20,400,155,,directed
20,40,156,4.078205971531564,directed
20,422,157,,directed
20,72,158,,directed
20,516,159,,directed
20,148,160,,directed
20,214,161,,directed
20,533,162,,directed
20,558,163,3.5962518195050945,directed
20,562,164,,directed
20,100,165,,directed
20,566,166,,directed
20,670,167,,directed
20,184,168,,directed
20,270,169,,directed
20,554,170,,directed
20,862,171,,directed
20,620,172,3.8659686881862663,directed
20,470,173,,directed
20,24,174,,directed
20,591,175,,directed
20,152,176,,directed
20,226,177,,directed
20,520,178,,directed
20,776,179,,directed
20,616,180,,directed
20,492,181,3.9224048800661704,directed
20,484,182,,directed
20,706,183,,directed
20,583,184,,directed
20,608,185,,directed
20,792,186,,directed
20,858,187,,directed
20,788,188,,directed
20,688,189,,directed
20,170,190,,directed
20,760,191,,directed
20,60,192,,directed
20,446,193,,directed
20,404,194,,directed
20,598,195,,directed
20,44,196,,directed
20,124,197,,directed
20,682,198,,directed
20,68,199,,directed
20,498,200,,directed
20,8,201,,directed
20,222,202,,directed
20,756,203,,directed
20,4,204,,directed
20,703,205,,directed
20,188,206,,directed
20,784,207,,directed
20,466,208,,directed
20,807,209,,directed
20,180,210,,directed
20,454,211,,directed
20,332,212,,directed
20,428,213,,directed
20,76,214,,directed
20,752,215,3.9420410427065997,directed
20,800,216,3.873456790123457,directed
20,31,217,,directed
20,328,218,,directed
20,208,219,,directed
20,28,220,,directed
20,524,221,,directed
20,376,222,,directed
20,116,223,,directed
20,132,224,,directed
20,12,225,,directed
20,768,226,,directed
20,826,227,3.9859921484653826,directed
20,512,228,,directed
20,450,229,,directed
20,414,230,,directed
20,275,231,,directed
20,203,232,,directed
20,659,233,,directed
20,352,234,,directed
20,340,235,,directed
20,36,236,,directed
20,360,237,,directed
20,398,238,,directed
20,762,239,,directed
20,276,240,,directed
20,144,241,,directed
20,654,242,,directed
20,662,243,,directed
20,724,244,4.357350659393328,directed
20,50,245,,directed
20,96,246,,directed
20,196,247,,directed
20,178,248,,directed
20,894,249,,directed
20,624,250,,directed
20,388,251,,directed
20,548,252,,directed
20,678,253,,directed
20,434,254,,directed
20,438,255,,directed
20,380,256,4.104683195592287,directed
20,250,257,4.1000644516472615,directed
20,268,258,,directed
20,504,259,4.184822676400139,directed
20,694,260,,directed
20,320,261,,directed
