Source,Target,ID,Weight,Type
136,512,0,,directed
136,450,1,,directed
136,414,2,,directed
136,275,3,4.257003548706763,directed
136,203,4,,directed
136,659,5,3.8376364399664142,directed
136,352,6,,directed
136,340,7,,directed
136,36,8,4.585168869309837,directed
136,360,9,,directed
136,398,10,,directed
136,762,11,,directed
136,276,12,4.385113268608414,directed
136,144,13,,directed
136,654,14,,directed
136,662,15,,directed
136,724,16,,directed
136,50,17,3.873397687286188,directed
136,96,18,,directed
136,196,19,,directed
136,178,20,,directed
136,894,21,,directed
136,624,22,,directed
136,388,23,4.347123969964738,directed
136,548,24,,directed
136,678,25,,directed
136,434,26,,directed
136,438,27,,directed
136,380,28,4.357782369146006,directed
136,250,29,3.9786967418546366,directed
136,268,30,,directed
136,504,31,,directed
136,694,32,,directed
136,320,33,,directed
136,462,34,,directed
136,51,35,,directed
136,876,36,,directed
136,56,37,,directed
136,336,38,,directed
136,740,39,,directed
136,480,40,,directed
136,660,41,,directed
136,348,42,,directed
136,300,43,4.10563973063973,directed
136,728,44,,directed
136,600,45,,directed
136,887,46,,directed
136,634,47,3.8446246819338414,directed
136,686,48,,directed
136,704,49,,directed
136,242,50,,directed
136,104,51,,directed
136,604,52,,directed
136,410,53,,directed
136,296,54,,directed
136,90,55,,directed
136,262,56,,directed
136,496,57,4.017210144927536,directed
204,643,58,,directed
204,156,59,3.935678602573547,directed
204,356,60,4.932598039215686,directed
204,174,61,,directed
204,246,62,,directed
204,882,63,3.8693693693693687,directed
204,408,64,,directed
204,192,65,,directed
204,578,66,,directed
204,417,67,,directed
204,120,68,4.070611338797814,directed
204,232,69,,directed
204,795,70,,directed
204,716,71,,directed
204,674,72,,directed
204,508,73,,directed
204,48,74,,directed
204,854,75,4.297912307940375,directed
204,368,76,,directed
204,231,77,4.0542950913242,directed
204,308,78,3.928571428571428,directed
204,702,79,,directed
204,108,80,,directed
204,266,81,,directed
204,191,82,,directed
204,324,83,4.01731799789968,directed
204,364,84,,directed
204,426,85,,directed
204,840,86,4.047731638272566,directed
204,710,87,,directed
204,764,88,,directed
204,418,89,,directed
204,818,90,,directed
204,780,91,,directed
204,288,92,5.024995487538208,directed
204,440,93,,directed
204,233,94,,directed
204,729,95,,directed
204,798,96,,directed
204,804,97,4.2505030181086525,directed
204,52,98,,directed
204,384,99,,directed
204,84,100,,directed
204,430,101,,directed
204,528,102,,directed
204,646,103,3.521005509641874,directed
204,212,104,,directed
204,690,105,4.124149659863946,directed
204,372,106,,directed
204,64,107,,directed
204,586,108,,directed
204,442,109,,directed
204,32,110,,directed
204,112,111,,directed
204,834,112,,directed
204,140,113,,directed
204,748,114,,directed
204,860,115,,directed
204,585,116,,directed
204,136,117,,directed
204,392,118,4.4059717382888115,directed
204,478,119,,directed
204,218,120,,directed
204,458,121,,directed
204,344,122,,directed
204,584,123,,directed
204,400,124,4.399717514124293,directed
204,40,125,,directed
204,422,126,,directed
204,72,127,,directed
204,516,128,,directed
204,148,129,4.69551282051282,directed
204,214,130,,directed
204,533,131,,directed
204,558,132,,directed
204,562,133,4.2817177830918585,directed
204,100,134,,directed
204,566,135,4.170240261668754,directed
204,670,136,3.954802259887006,directed
204,184,137,,directed
204,270,138,4.124149659863946,directed
204,554,139,,directed
204,862,140,,directed
204,620,141,4.119383034427656,directed
204,470,142,,directed
204,24,143,,directed
204,591,144,,directed
204,152,145,,directed
204,226,146,,directed
204,20,147,,directed
204,520,148,,directed
204,776,149,,directed
204,616,150,,directed
204,492,151,,directed
204,484,152,,directed
204,706,153,,directed
204,583,154,,directed
204,608,155,,directed
204,792,156,,directed
204,858,157,,directed
204,788,158,4.158715012722646,directed
204,688,159,,directed
204,170,160,,directed
204,760,161,,directed
204,60,162,,directed
204,446,163,,directed
204,404,164,4.701365855121521,directed
204,598,165,,directed
204,44,166,,directed
204,124,167,,directed
204,682,168,4.104429814827935,directed
204,68,169,,directed
