Source,Target,ID,Weight,Type
231,480,0,3.987162750217581,directed
231,660,1,,directed
231,348,2,3.9045740490978535,directed
231,300,3,4.455267716236638,directed
231,728,4,4.553476071402726,directed
231,600,5,,directed
231,887,6,4.4138478162995005,directed
231,634,7,4.418723405103633,directed
231,686,8,4.021989118700289,directed
231,704,9,3.859074390796174,directed
231,242,10,,directed
231,104,11,,directed
231,604,12,,directed
231,410,13,3.8798161232708956,directed
231,296,14,,directed
231,90,15,,directed
231,262,16,4.265883802569729,directed
231,496,17,,directed
308,643,18,4.421309956566897,directed
308,156,19,4.040892606471246,directed
308,356,20,,directed
308,174,21,,directed
308,246,22,,directed
308,882,23,4.026930894308943,directed
308,408,24,,directed
308,192,25,4.658251286638919,directed
308,578,26,,directed
308,417,27,,directed
308,120,28,,directed
308,232,29,,directed
308,795,30,,directed
308,716,31,,directed
308,674,32,,directed
308,508,33,,directed
308,48,34,,directed
308,854,35,,directed
308,368,36,,directed
308,231,37,,directed
308,702,38,,directed
308,108,39,3.904906423874557,directed
308,266,40,,directed
308,191,41,,directed
308,324,42,,directed
308,364,43,,directed
308,426,44,,directed
308,840,45,4.390001413629792,directed
308,710,46,4.097529498525073,directed
308,764,47,4.255653266331659,directed
308,418,48,,directed
308,818,49,3.932291666666667,directed
308,780,50,4.422726225364556,directed
308,288,51,4.025689223057644,directed
308,440,52,,directed
308,233,53,,directed
308,729,54,,directed
308,798,55,,directed
308,804,56,4.496870425036601,directed
308,52,57,4.23988585487224,directed
308,384,58,,directed
308,84,59,4.291817223727794,directed
308,430,60,,directed
308,528,61,4.158133824660048,directed
308,646,62,,directed
308,212,63,,directed
308,690,64,,directed
308,372,65,4.958312247635613,directed
308,64,66,,directed
308,586,67,,directed
308,442,68,,directed
308,32,69,4.0067032297379646,directed
308,112,70,4.002299783549783,directed
308,834,71,,directed
308,140,72,,directed
308,748,73,,directed
308,860,74,,directed
308,585,75,,directed
308,136,76,,directed
308,204,77,,directed
308,392,78,,directed
308,478,79,,directed
308,218,80,,directed
308,458,81,,directed
308,344,82,,directed
308,584,83,,directed
308,400,84,,directed
308,40,85,3.933183442868673,directed
308,422,86,4.07881316906878,directed
308,72,87,,directed
308,516,88,,directed
308,148,89,,directed
308,214,90,4.926595497913874,directed
308,533,91,,directed
308,558,92,,directed
308,562,93,3.88854640870005,directed
308,100,94,,directed
308,566,95,,directed
308,670,96,4.116002859759489,directed
308,184,97,,directed
308,270,98,,directed
308,554,99,4.259616653470573,directed
308,862,100,4.157653481664607,directed
308,620,101,4.333651399491093,directed
308,470,102,3.8185234305923963,directed
308,24,103,4.000488758553275,directed
308,591,104,4.462280562172842,directed
308,152,105,3.70034542314335,directed
308,226,106,,directed
308,20,107,,directed
308,520,108,,directed
308,776,109,,directed
308,616,110,4.12943075958049,directed
308,492,111,4.083518107908351,directed
308,484,112,4.6096162674531325,directed
308,706,113,,directed
308,583,114,,directed
308,608,115,,directed
308,792,116,4.136309523809524,directed
308,858,117,,directed
308,788,118,,directed
308,688,119,,directed
308,170,120,4.020833333333334,directed
308,760,121,,directed
308,60,122,,directed
308,446,123,,directed
308,404,124,4.443684450524397,directed
308,598,125,,directed
308,44,126,4.167143030549392,directed
308,124,127,4.039604153182003,directed
308,682,128,3.9865036517581673,directed
308,68,129,,directed
308,498,130,,directed
308,8,131,,directed
308,222,132,,directed
308,756,133,,directed
308,4,134,,directed
308,703,135,,directed
308,188,136,,directed
308,784,137,,directed
308,466,138,,directed
308,807,139,,directed
308,180,140,3.904906423874557,directed
308,454,141,,directed
308,332,142,,directed
308,428,143,,directed
308,76,144,,directed
308,752,145,,directed
308,800,146,,directed
308,31,147,4.244271005087025,directed
308,328,148,4.201758970234235,directed
308,208,149,,directed
308,28,150,3.8576763759247528,directed
308,524,151,,directed
308,376,152,4.321200716241889,directed
