Source,Target,Weight,Type
764,422,4.273914519715032,directed
512,634,4.252750306405445,directed
392,492,3.974420930084058,directed
788,562,4.176933572635612,directed
583,608,4.116196991762977,directed
840,446,3.740047644302224,directed
242,410,4.269554406817292,directed
702,422,4.376380902382989,directed
408,364,4.388099323949888,directed
328,84,4.173512698881661,directed
887,48,5.028134937612748,directed
528,360,4.26206420538347,directed
212,84,4.138465877044557,directed
352,756,3.956849670683534,directed
320,854,4.108971131252098,directed
724,410,4.423110612414254,directed
428,56,4.155034273369909,directed
682,788,4.089593764685125,directed
40,364,4.290145231921723,directed
188,512,3.846651025807747,directed
388,604,4.916520638629283,directed
44,360,3.7851591856254703,directed
152,862,4.775688180880571,directed
116,586,4.081894964008336,directed
191,32,4.494995176073323,directed
364,242,4.346092503987241,directed
492,196,3.663069544364508,directed
752,780,4.019606803529014,directed
438,275,3.541666666666668,directed
4,36,4.911121137528427,directed
462,360,4.171234923666101,directed
620,203,4.047249721137758,directed
795,398,4.097720152606558,directed
646,784,4.43682385091464,directed
356,40,4.702064612203468,directed
188,31,4.266169154228856,directed
784,76,4.07877962861728,directed
356,56,4.233976221255699,directed
492,308,4.076792710742357,directed
380,300,4.325489735433384,directed
410,524,4.001298137571138,directed
250,504,4.256176864837071,directed
348,703,4.223263514321123,directed
404,170,4.241771724799283,directed
218,804,4.130492549003423,directed
231,480,3.987162750217581,directed
800,462,4.691173057248916,directed
662,780,4.019686486303569,directed
398,392,3.8370034491887015,directed
384,504,4.013448883394777,directed
410,462,4.375531873484185,directed
4,466,4.5907497098319805,directed
694,288,3.9688111389755374,directed
404,392,3.9613500627014058,directed
729,768,4.309796437659034,directed
352,620,4.208991552854938,directed
418,112,4.388215174129353,directed
643,591,3.9712981486261687,directed
792,533,3.9204190118824265,directed
860,795,4.069381953328934,directed
862,566,3.954069496722045,directed
450,288,3.97811329588015,directed
60,352,4.315583634175692,directed
156,584,4.431841873449571,directed
784,608,4.149712600958786,directed
854,148,4.255613535736875,directed
20,250,4.1000644516472615,directed
372,31,4.109194817780536,directed
670,662,4.515255905511812,directed
620,132,4.070648453741271,directed
408,716,5.487542955326453,directed
170,376,4.642362214865095,directed
643,170,4.32510933941399,directed
