Source,Target,ID,Weight,Type
804,178,0,,directed
804,894,1,,directed
804,624,2,,directed
804,388,3,3.9774464831804286,directed
804,548,4,,directed
804,678,5,,directed
804,434,6,4.220337759870233,directed
804,438,7,,directed
804,380,8,4.198133284206019,directed
804,250,9,4.305140833077285,directed
804,268,10,4.020638629283488,directed
804,504,11,4.423271164342088,directed
804,694,12,3.822259054004331,directed
804,320,13,3.919419144693065,directed
804,462,14,4.927608688249653,directed
804,51,15,4.2425847844887485,directed
804,876,16,,directed
804,56,17,4.222177484306312,directed
804,336,18,4.289907400788317,directed
804,740,19,,directed
804,480,20,,directed
804,660,21,,directed
804,348,22,4.289776462988642,directed
804,300,23,4.286640262070237,directed
804,728,24,,directed
804,600,25,3.967492418973535,directed
804,887,26,4.327541777765497,directed
804,634,27,4.363147441764795,directed
804,686,28,5.1075805150363225,directed
804,704,29,4.204931426942553,directed
804,242,30,4.173474945533769,directed
804,104,31,4.592013888888889,directed
804,604,32,4.569257789328543,directed
804,410,33,4.2908853571652745,directed
804,296,34,,directed
804,90,35,,directed
804,262,36,4.545712020648969,directed
804,496,37,4.348974049487025,directed
52,643,38,4.857217458223395,directed
52,156,39,3.74598024398984,directed
52,356,40,,directed
52,174,41,,directed
52,246,42,,directed
52,882,43,,directed
52,408,44,,directed
52,192,45,4.466733991290102,directed
52,578,46,4.284686448682713,directed
52,417,47,,directed
52,120,48,,directed
52,232,49,,directed
52,795,50,,directed
52,716,51,,directed
52,674,52,,directed
52,508,53,,directed
52,48,54,,directed
52,854,55,,directed
52,368,56,,directed
52,231,57,,directed
52,308,58,4.318342782548265,directed
52,702,59,,directed
52,108,60,,directed
52,266,61,4.208871061324635,directed
52,191,62,,directed
52,324,63,,directed
52,364,64,4.232687793427229,directed
52,426,65,,directed
52,840,66,4.187833146578045,directed
52,710,67,,directed
52,764,68,4.135191846522782,directed
52,418,69,,directed
52,818,70,3.90782280363028,directed
52,780,71,4.199193277969761,directed
52,288,72,4.107513120603866,directed
52,440,73,,directed
52,233,74,,directed
52,729,75,,directed
52,798,76,,directed
52,804,77,4.114321608040201,directed
52,384,78,,directed
52,84,79,4.1202103279144975,directed
52,430,80,,directed
52,528,81,,directed
52,646,82,3.9927510995825832,directed
52,212,83,4.055371843680853,directed
52,690,84,,directed
52,372,85,4.483523447401775,directed
52,64,86,,directed
52,586,87,,directed
52,442,88,,directed
52,32,89,3.64226598173516,directed
52,112,90,,directed
52,834,91,,directed
52,140,92,,directed
52,748,93,,directed
52,860,94,,directed
52,585,95,,directed
52,136,96,4.026541167210585,directed
52,204,97,,directed
52,392,98,,directed
52,478,99,,directed
52,218,100,4.248125521530729,directed
52,458,101,,directed
52,344,102,,directed
52,584,103,,directed
52,400,104,,directed
52,40,105,,directed
52,422,106,,directed
52,72,107,,directed
52,516,108,,directed
52,148,109,,directed
52,214,110,4.218606237330404,directed
52,533,111,,directed
52,558,112,,directed
52,562,113,,directed
52,100,114,,directed
52,566,115,,directed
52,670,116,4.105367294999289,directed
52,184,117,,directed
52,270,118,,directed
52,554,119,4.1417082640044365,directed
52,862,120,4.2040078337998406,directed
52,620,121,,directed
52,470,122,,directed
52,24,123,,directed
52,591,124,4.137480805675242,directed
52,152,125,4.126807955741972,directed
52,226,126,,directed
52,20,127,,directed
52,520,128,,directed
52,776,129,,directed
52,616,130,,directed
52,492,131,,directed
52,484,132,4.0512233909468405,directed
52,706,133,,directed
52,583,134,,directed
52,608,135,,directed
52,792,136,,directed
52,858,137,4.211784360044197,directed
52,788,138,,directed
52,688,139,,directed
52,170,140,4.242007830821729,directed
52,760,141,,directed
52,60,142,4.166666666666667,directed
52,446,143,,directed
52,404,144,4.036019990825521,directed
52,598,145,,directed
52,44,146,4.0465224551359,directed
52,124,147,4.175740023735627,directed
52,682,148,3.952796989051796,directed
52,68,149,,directed
52,498,150,,directed
52,8,151,,directed
52,222,152,,directed
52,756,153,4.14255551656616,directed
52,4,154,,directed
52,703,155,,directed
52,188,156,4.248125521530729,directed
52,784,157,,directed
52,466,158,,directed
52,807,159,,directed
52,180,160,,directed
52,454,161,,directed
52,332,162,3.637005649717513,directed
52,428,163,,directed
52,76,164,4.52724358974359,directed
52,752,165,4.154645315927799,directed
52,800,166,,directed
52,31,167,,directed
52,328,168,4.0069994983754285,directed
52,208,169,,directed
52,28,170,4.045138957489544,directed
52,524,171,,directed
52,376,172,4.613292241190212,directed
52,116,173,,directed
52,132,174,,directed
52,12,175,4.376680107526881,directed
52,768,176,,directed
52,826,177,4.411733985300215,directed
52,512,178,,directed
52,450,179,,directed
52,414,180,,directed
52,275,181,4.53931068502617,directed
52,203,182,,directed
52,659,183,3.966658891438117,directed
52,352,184,,directed
52,340,185,4.534120734908137,directed
52,36,186,4.110677268365208,directed
52,360,187,,directed
52,398,188,,directed
52,762,189,,directed
52,276,190,,directed
52,144,191,,directed
52,654,192,,directed
52,662,193,3.868885276215186,directed
52,724,194,4.3788674429461345,directed
52,50,195,,directed
52,96,196,,directed
52,196,197,,directed
52,178,198,,directed
52,894,199,,directed
52,624,200,,directed
52,388,201,4.132001949291228,directed
52,548,202,,directed
52,678,203,,directed
52,434,204,,directed
52,438,205,,directed
52,380,206,,directed
52,250,207,4.22796181902828,directed
52,268,208,,directed
52,504,209,,directed
52,694,210,,directed
52,320,211,,directed
52,462,212,4.484247967479675,directed
52,51,213,,directed
52,876,214,,directed
52,56,215,3.7126500540479035,directed
52,336,216,,directed
52,740,217,4.108205782312925,directed
52,480,218,,directed
52,660,219,,directed
52,348,220,,directed
52,300,221,3.9254385964912286,directed
52,728,222,,directed
52,600,223,3.9899553571428577,directed
52,887,224,,directed
52,634,225,,directed
52,686,226,,directed
52,704,227,,directed
52,242,228,,directed
52,104,229,,directed
52,604,230,4.248125521530729,directed
52,410,231,,directed
52,296,232,,directed
52,90,233,,directed
52,262,234,,directed
52,496,235,,directed
384,643,236,,directed
384,156,237,,directed
384,356,238,,directed
384,174,239,,directed
384,246,240,,directed
384,882,241,,directed
384,408,242,,directed
384,192,243,,directed
384,578,244,,directed
384,417,245,,directed
384,120,246,3.9226929308965826,directed
384,232,247,,directed
384,795,248,,directed
384,716,249,4.026309147370813,directed
384,674,250,,directed
384,508,251,,directed
384,48,252,,directed
384,854,253,4.326909834251572,directed
384,368,254,,directed
384,231,255,3.806323426332797,directed
384,308,256,,directed
384,702,257,,directed
384,108,258,,directed
384,266,259,4.64310922886889,directed
384,191,260,,directed
384,324,261,4.194291110645896,directed
384,364,262,,directed
384,426,263,,directed
384,840,264,4.058599102919279,directed
384,710,265,4.105440315012205,directed
384,764,266,,directed
384,418,267,,directed
384,818,268,4.079613095238096,directed
384,780,269,,directed
384,288,270,4.130587984145547,directed
384,440,271,,directed
384,233,272,,directed
384,729,273,,directed
384,798,274,,directed
384,804,275,,directed
384,52,276,,directed
384,84,277,,directed
384,430,278,4.29714103087015,directed
384,528,279,4.064961226220768,directed
384,646,280,4.079613095238096,directed
384,212,281,,directed
384,690,282,,directed
384,372,283,,directed
384,64,284,,directed
384,586,285,,directed
384,442,286,,directed
384,32,287,,directed
384,112,288,,directed
384,834,289,,directed
384,140,290,,directed
384,748,291,,directed
384,860,292,,directed
384,585,293,,directed
384,136,294,,directed
384,204,295,,directed
384,392,296,,directed
384,478,297,5.0047182881370995,directed
384,218,298,4.126570686310516,directed
384,458,299,,directed
384,344,300,,directed
384,584,301,,directed
384,400,302,4.32900432900433,directed
384,40,303,3.9039940364092893,directed
