Source,Target,ID,Weight,Type
710,268,0,,directed
710,504,1,,directed
710,694,2,,directed
710,320,3,,directed
710,462,4,5.202131383422081,directed
710,51,5,,directed
710,876,6,,directed
710,56,7,4.388291833933689,directed
710,336,8,,directed
710,740,9,,directed
710,480,10,4.248977143007873,directed
710,660,11,,directed
710,348,12,,directed
710,300,13,5.519576020670768,directed
710,728,14,,directed
710,600,15,,directed
710,887,16,4.015456989247311,directed
710,634,17,4.167134650554996,directed
710,686,18,4.25840477962576,directed
710,704,19,4.066536188056565,directed
710,242,20,3.9012226512226524,directed
710,104,21,5.2217808672624955,directed
710,604,22,6.7309264133860935,directed
710,410,23,4.457105903545169,directed
710,296,24,,directed
710,90,25,,directed
710,262,26,,directed
710,496,27,3.9170628631801376,directed
764,643,28,4.292781405331146,directed
764,156,29,4.20332976657582,directed
764,356,30,4.247080073352918,directed
764,174,31,,directed
764,246,32,,directed
764,882,33,3.7402452619843922,directed
764,408,34,4.248006046373359,directed
764,192,35,4.231713472834067,directed
764,578,36,4.457390893495515,directed
764,417,37,,directed
764,120,38,5.280834514850711,directed
764,232,39,,directed
764,795,40,,directed
764,716,41,,directed
764,674,42,,directed
764,508,43,4.109551784160139,directed
764,48,44,4.205309840470913,directed
764,854,45,,directed
764,368,46,4.139697331374709,directed
764,231,47,4.127275910364147,directed
764,308,48,,directed
764,702,49,4.0477865519749,directed
764,108,50,,directed
764,266,51,,directed
764,191,52,,directed
764,324,53,,directed
764,364,54,4.4026021318777895,directed
764,426,55,,directed
764,840,56,4.22444152912102,directed
764,710,57,3.6310051920711985,directed
764,418,58,4.148063273702531,directed
764,818,59,4.379102796591768,directed
764,780,60,,directed
764,288,61,,directed
764,440,62,4.150672448466567,directed
764,233,63,,directed
764,729,64,4.153181999020688,directed
764,798,65,,directed
764,804,66,4.307336477080659,directed
764,52,67,4.050150941593236,directed
764,384,68,,directed
764,84,69,,directed
764,430,70,,directed
764,528,71,3.836449351884048,directed
764,646,72,,directed
764,212,73,,directed
764,690,74,3.836996336996337,directed
764,372,75,4.034930060592017,directed
764,64,76,4.179145867997781,directed
764,586,77,4.2946206091504555,directed
764,442,78,4.245205026455026,directed
764,32,79,4.095198293693415,directed
764,112,80,4.166666666666667,directed
764,834,81,4.076281890534479,directed
764,140,82,,directed
764,748,83,,directed
764,860,84,4.195804195804196,directed
764,585,85,,directed
764,136,86,3.880285570736293,directed
764,204,87,,directed
764,392,88,4.369591230269758,directed
764,478,89,,directed
764,218,90,,directed
764,458,91,4.101877533179275,directed
764,344,92,3.962862318840579,directed
764,584,93,3.7402452619843922,directed
764,400,94,4.156409717741192,directed
764,40,95,4.003350244365961,directed
764,422,96,4.273914519715032,directed
764,72,97,,directed
764,516,98,,directed
764,148,99,4.351851851851852,directed
764,214,100,,directed
764,533,101,,directed
764,558,102,3.935746353506476,directed
764,562,103,,directed
764,100,104,,directed
764,566,105,4.362502119447452,directed
764,670,106,,directed
764,184,107,,directed
764,270,108,,directed
764,554,109,4.060401521056753,directed
764,862,110,4.265247969965858,directed
764,620,111,4.1073453092192125,directed
764,470,112,4.055655465536463,directed
764,24,113,,directed
764,591,114,3.836996336996337,directed
764,152,115,4.064645631182121,directed
764,226,116,,directed
764,20,117,,directed
764,520,118,,directed
764,776,119,,directed
764,616,120,4.674079777851636,directed
764,492,121,,directed
764,484,122,4.002663200424175,directed
764,706,123,,directed
764,583,124,3.6529751950947604,directed
764,608,125,4.254124263320725,directed
764,792,126,4.32694196729912,directed
764,858,127,,directed
764,788,128,4.0509259259259265,directed
764,688,129,,directed
764,170,130,5.2953801621773,directed
764,760,131,,directed
764,60,132,,directed
764,446,133,3.7916666666666665,directed
764,404,134,4.161779930986074,directed
764,598,135,4.121009859215712,directed
764,44,136,4.2181540432121105,directed
764,124,137,4.166558441439623,directed
764,682,138,4.027390576665742,directed
764,68,139,,directed
764,498,140,,directed
764,8,141,3.8494674185463653,directed
764,222,142,3.795543917185658,directed
764,756,143,4.300454521114921,directed
764,4,144,4.206634221886397,directed
764,703,145,,directed
764,188,146,4.004662753542651,directed
764,784,147,4.117248245144176,directed
764,466,148,,directed
764,807,149,,directed
764,180,150,,directed
764,454,151,,directed
764,332,152,,directed
764,428,153,,directed
764,76,154,4.023128593931508,directed
764,752,155,4.326503031483017,directed
764,800,156,4.714262187088274,directed
764,31,157,3.784912139020326,directed
764,328,158,4.2915543138991,directed
764,208,159,4.195268356977741,directed
764,28,160,,directed
764,524,161,4.231824276453834,directed
764,376,162,4.581935984711582,directed
764,116,163,4.204653928914491,directed
764,132,164,,directed
764,12,165,,directed
764,768,166,,directed
764,826,167,4.226489123085834,directed
764,512,168,,directed
764,450,169,,directed
764,414,170,4.51019330280694,directed
764,275,171,4.497122670015085,directed
764,203,172,,directed
764,659,173,3.836996336996337,directed
764,352,174,4.327046283311817,directed
764,340,175,3.9936319986979165,directed
764,36,176,4.137134011383695,directed
764,360,177,4.162122360994092,directed
764,398,178,4.00333162572467,directed
764,762,179,,directed
764,276,180,4.262109245409975,directed
764,144,181,4.111536538483047,directed
764,654,182,,directed
764,662,183,,directed
764,724,184,5.023051597904901,directed
764,50,185,4.204594745142321,directed
764,96,186,3.986363616720732,directed
764,196,187,,directed
764,178,188,,directed
764,894,189,4.1190778341793575,directed
764,624,190,,directed
764,388,191,,directed
764,548,192,,directed
764,678,193,,directed
764,434,194,,directed
764,438,195,,directed
764,380,196,4.262787556257567,directed
764,250,197,4.405116212019083,directed
764,268,198,,directed
764,504,199,,directed
764,694,200,,directed
764,320,201,,directed
764,462,202,4.447387620544526,directed
764,51,203,5.2438716665289355,directed
764,876,204,,directed
764,56,205,4.326544426286461,directed
764,336,206,4.115675990675991,directed
764,740,207,4.10300522114902,directed
764,480,208,3.836996336996337,directed
764,660,209,,directed
764,348,210,3.899075064450662,directed
764,300,211,3.9323815900309422,directed
764,728,212,,directed
764,600,213,,directed
764,887,214,3.967023065493533,directed
764,634,215,4.38117420063298,directed
764,686,216,,directed
764,704,217,4.0900805036785775,directed
764,242,218,,directed
764,104,219,4.598785013132325,directed
764,604,220,3.759529101761052,directed
764,410,221,4.357192073932642,directed
764,296,222,3.7402452619843922,directed
764,90,223,3.7402452619843922,directed
764,262,224,,directed
764,496,225,4.035094029504259,directed
418,643,226,4.025863603671061,directed
418,156,227,4.182165626789923,directed
418,356,228,4.154725468373216,directed
418,174,229,,directed
418,246,230,4.0480895915678525,directed
418,882,231,,directed
418,408,232,4.205893388864463,directed
418,192,233,3.7937620889748542,directed
418,578,234,,directed
418,417,235,,directed
418,120,236,,directed
418,232,237,,directed
418,795,238,,directed
418,716,239,,directed
418,674,240,,directed
418,508,241,,directed
418,48,242,3.909817351598174,directed
418,854,243,,directed
418,368,244,,directed
418,231,245,,directed
418,308,246,,directed
418,702,247,4.009303727466902,directed
418,108,248,,directed
418,266,249,,directed
418,191,250,,directed
418,324,251,,directed
418,364,252,,directed
418,426,253,,directed
418,840,254,4.315922821178661,directed
418,710,255,,directed
418,764,256,4.125445353816347,directed
418,818,257,,directed
418,780,258,,directed
418,288,259,,directed
418,440,260,,directed
418,233,261,,directed
418,729,262,,directed
418,798,263,,directed
418,804,264,4.346043460434604,directed
418,52,265,,directed
418,384,266,,directed
418,84,267,,directed
418,430,268,,directed
418,528,269,,directed
418,646,270,,directed
418,212,271,,directed
418,690,272,,directed
418,372,273,,directed
418,64,274,,directed
418,586,275,,directed
418,442,276,,directed
418,32,277,,directed
418,112,278,4.388215174129353,directed
418,834,279,,directed
418,140,280,,directed
418,748,281,,directed
418,860,282,,directed
418,585,283,,directed
418,136,284,,directed
418,204,285,,directed
418,392,286,3.8525976791409318,directed
418,478,287,,directed
418,218,288,,directed
418,458,289,3.8937213490082656,directed
418,344,290,,directed
418,584,291,,directed
418,400,292,,directed
418,40,293,,directed
418,422,294,,directed
418,72,295,,directed
418,516,296,,directed
418,148,297,,directed
418,214,298,,directed
418,533,299,,directed
418,558,300,4.271598461000349,directed
418,562,301,,directed
418,100,302,,directed
418,566,303,,directed
418,670,304,,directed
418,184,305,,directed
418,270,306,,directed
418,554,307,,directed
418,862,308,3.9396080014352357,directed
418,620,309,,directed
