Country or Area,M49 code,ISO-alpha3 code,Latitude,Longitude
Montenegro,499,MNE,42.0,19.0
Montserrat,500,MSR,16.75,-62.2
Morocco,504,MAR,32.0,-5.0
Mozambique,508,MOZ,-18.25,35.0
Myanmar,104,MMR,22.0,98.0
Namibia,516,NAM,-22.0,17.0
Nauru,520,NRU,-0.5333,166.9167
Nepal,524,NPL,28.0,84.0
Netherlands,528,NLD,52.5,5.75
New Caledonia,540,NCL,-21.5,165.5
New Zealand,554,NZL,-41.0,174.0
Nicaragua,558,NIC,13.0,-85.0
Niger,562,NER,16.0,8.0
Nigeria,566,NGA,10.0,8.0
Niue,570,NIU,-19.0333,-169.8667
Norfolk Island,574,NFK,-29.0333,167.95
North Macedonia,807,MKD,41.8333,22.0
Northern Mariana Islands,580,MNP,15.2,145.75
Norway,578,NOR,62.0,10.0
Oman,512,OMN,21.0,57.0
Pakistan,586,PAK,30.0,70.0
Palau,585,PLW,7.5,134.5
Panama,591,PAN,9.0,-80.0
Papua New Guinea,598,PNG,-6.0,147.0
Paraguay,600,PRY,-23.0,-58.0
Peru,604,PER,-10.0,-76.0
Philippines,608,PHL,13.0,122.0
Pitcairn,612,PCN,-24.7,-127.4
Poland,616,POL,52.0,20.0
Portugal,620,PRT,39.5,-8.0
Puerto Rico,630,PRI,18.25,-66.5
Qatar,634,QAT,25.5,51.25
Republic of Korea,410,KOR,37.0,127.5
Republic of Moldova,498,MDA,47.00556,28.8575
Réunion,638,REU,-21.1,55.6
Romania,642,ROU,46.0,25.0
Russian Federation,643,RUS,60.0,100.0
Rwanda,646,RWA,-2.0,30.0
Saint Barthélemy,652,BLM,17.897728,-62.834244
Saint Helena,654,SHN,-15.9333,-5.7
Saint Kitts and Nevis,659,KNA,17.3333,-62.75
Saint Lucia,662,LCA,13.8833,-61.1333
Saint Martin,663,MAF,18.075278,-63.06
Saint Pierre and Miquelon,666,SPM,46.8333,-56.3333
Saint Vincent and the Grenadines,670,VCT,13.25,-61.2
Samoa,882,WSM,-13.5833,-172.3333
San Marino,674,SMR,43.7667,12.4167
Sao Tome and Principe,678,STP,1.0,7.0
Saudi Arabia,682,SAU,25.0,45.0
Senegal,686,SEN,14.0,-14.0
Serbia,688,SRB,44.0,21.0
Seychelles,690,SYC,-4.5833,55.6667
Sierra Leone,694,SLE,8.5,-11.5
Singapore,702,SGP,1.3667,103.8
Sint Maarten,534,SXM,18.033333,-63.05
Slovakia,703,SVK,48.6667,19.5
Slovenia,705,SVN,46.0,15.0
Solomon Islands,90,SLB,-8.0,159.0
Somalia,706,SOM,10.0,49.0
South Africa,710,ZAF,-29.0,24.0
South Georgia and the South Sandwich Islands,239,SGS,-54.5,-37.0
South Sudan,728,SSD,8.0,30.0
Spain,724,ESP,40.0,-4.0
Sri Lanka,144,LKA,7.0,81.0
State of Palestine,275,PSE,32.0,35.25
Sudan,729,SDN,15.0,30.0
Suriname,740,SUR,4.0,-56.0
Svalbard and Jan Mayen Islands,744,SJM,78.0,20.0
Sweden,752,SWE,62.0,15.0
Switzerland,756,CHE,47.0,8.0
Syrian Arab Republic,760,SYR,35.0,38.0
Taiwan,158,TWN,23.5,121.0
Tajikistan,762,TJK,39.0,71.0
Thailand,764,THA,15.0,100.0
Timor-Leste,626,TLS,-8.55,125.5167
Togo,768,TGO,8.0,1.1667
Tokelau,772,TKL,-9.0,-172.0
Tonga,776,TON,-20.0,-175.0
Trinidad and Tobago,780,TTO,11.0,-61.0
Tunisia,788,TUN,34.0,9.0
Türkiye,792,TUR,39.0,35.0
Turkmenistan,795,TKM,40.0,60.0
Turks and Caicos Islands,796,TCA,21.75,-71.5833
Tuvalu,798,TUV,-8.0,178.0
Uganda,800,UGA,1.0,32.0
Ukraine,804,UKR,49.0,32.0
United Arab Emirates,784,ARE,24.0,54.0
United Kingdom of Great Britain and Northern Ireland,826,GBR,54.0,-2.0
United Republic of Tanzania,834,TZA,-6.0,35.0
United States Minor Outlying Islands,581,UMI,19.2833,166.6
United States of America,840,USA,38.0,-97.0
United States Virgin Islands,850,VIR,18.3333,-64.8333
Uruguay,858,URY,-33.0,-56.0
Uzbekistan,860,UZB,41.0,64.0
Vanuatu,548,VUT,-16.0,167.0
Venezuela,862,VEN,8.0,-66.0
Viet Nam,704,VNM,16.0,106.0
Wallis and Futuna Islands,876,WLF,-13.3,-176.2
Western Sahara,732,ESH,24.5,-13.0
Yemen,887,YEM,15.0,48.0
Zambia,894,ZMB,-15.0,30.0
Zimbabwe,716,ZWE,-20.0,30.0
