ISO,Score,Rank,Political Context,Rank_Pol,Economic Context,Rank_Eco,Legal Context,Rank_Leg,Social Context,Rank_Soc,Safety,Rank_Saf,Zone,Country_EN,Country_FR,Country_ES,Country_AR,Country_FA,Year (N),Rank N-1,Rank evolution,Country_PT,Score N-1,Score evolution
ESP,"76,71",32,"72,73",38,"63,38",31,"82,16",25,"81,89",39,"83,4",35,Europe - Asie centrale,Spain,Espagne,España,إسبانيا,اسپانیا,2022,29,-3,,,
BTN,"76,46",33,"78,79",25,"62,24",34,"70,39",67,77,60,"93,88",4,Asie-Pacifique,Bhutan,Bhoutan,Bután,بوتان,بوتان,2022,65,32,,,
GUY,"76,41",34,"70,06",46,"67,76",25,"75,61",51,"81,4",43,"87,21",24,Amériques,Guyana,Guyana,Guyana,غويانا,گیانا,2022,51,17,,,
ZAF,"75,56",35,"75,96",29,"62,59",33,"84,36",17,"82,5",37,"72,39",74,Afrique,South Africa,Afrique du Sud,Sudáfrica,جنوب أفريقيا,آفریقای جنوبی,2022,32,-3,,,
CPV,"75,37",36,"72,55",39,"62,76",32,"77,98",44,"75,4",68,"88,16",19,Afrique,Cape Verde,Cap-Vert,Cabo Verde,الرأس الأخضر,کیپورد,2022,27,-9,,,
CIV,"74,46",37,"74,89",31,"58,45",39,"75,94",50,"81,43",41,"81,6",41,Afrique,Ivory Coast,Côte d'Ivoire,Costa de Marfil,ساحل العاج,ساحل عاج,2022,66,29,,,
TWN,"74,08",38,"74,78",33,"51,88",49,"79,01",40,"77,69",57,"87,02",25,Asie-Pacifique,Taiwan,Taïwan,Taiwán,تايوان,تایوان,2022,43,5,,,
AUS,"73,77",39,"77,17",27,"63,44",30,"64,18",96,"84,17",33,"79,88",48,Asie-Pacifique,Australia,Australie,Australia,أستراليا,استرالیا,2022,25,-14,,,
MDA,"73,47",40,"70,15",45,"47,83",63,83,21,"85,88",28,"80,48",44,Europe - Asie centrale,Moldova,Moldavie,Moldavia,مولدوفا,مولداوی,2022,89,49,,,
BFA,"73,12",41,"78,99",23,"67,69",26,"75,58",52,"87,83",22,"55,52",113,Afrique,Burkina Faso,Burkina Faso,Burkina Faso,بوركينا فاسو,بورکینافاسو,2022,37,-4,,,
USA,"72,74",42,"72,99",36,"59,33",38,"77,32",46,"81,43",41,"72,63",72,Amériques,United States,États-Unis,Estados Unidos,الولايات المتحدة,ایالات متحده امریکا,2022,44,2,,,
KOR,"72,11",43,"71,15",42,"55,31",43,"72,81",61,"79,8",51,"81,5",42,Asie-Pacifique,South Korea,Corée du Sud,Corea del Sur,كوريا الجنوبية,کره جنوبی,2022,42,-1,,,
URY,"72,03",44,"70,3",44,"49,32",58,"83,63",20,"72,33",78,"84,58",30,Amériques,Uruguay,Uruguay,Uruguay,أوروغواي,اروگويه,2022,18,-26,,,
WSM,"71,39",45,"61,82",67,"56,12",41,"64,91",92,85,30,"89,12",16,Asie-Pacifique,Samoa,Samoa,Samoa,ساموا,ساموآ,2022,21,-24,,,
SLE,"71,03",46,"73,71",35,"50,38",55,"78,4",42,"77,5",58,"75,14",58,Afrique,Sierra Leone,Sierra Leone,Sierra Leona,سيراليون,سئیرالئون,2022,75,29,,,
BLZ,"70,67",47,70,47,"52,04",48,"63,6",100,82,38,"85,71",28,Amériques,Belize,Bélize,Belice,بليز,بلیز,2022,53,6,,,
HRV,"70,42",48,"68,26",49,"50,46",53,"79,19",38,"76,09",64,"78,08",52,Europe - Asie centrale,Croatia,Croatie,Croacia,كرواتيا,کرواسی,2022,56,8,,,
TON,"69,74",49,"69,7",48,"53,06",47,"66,67",86,"69,5",87,"89,8",15,Asie-Pacifique,Tonga,Tonga,Tonga,تونغا,تونگا,2022,46,-3,,,
GMB,"69,25",50,"71,11",43,"51,36",51,"67,69",81,"81,33",44,"74,74",64,Afrique,Gambia,Gambie,Gambia,غامبيا,گامبیا,2022,85,35,,,
ARM,"68,97",51,"66,26",55,"44,44",81,"77,88",45,"76,33",63,"79,91",47,Europe - Asie centrale,Armenia,Arménie,Armenia,أرمينيا,ارمنستان,2022,63,12,,,
SUR,"68,95",52,"67,88",51,"55,1",44,"62,28",102,84,34,"75,51",57,Amériques,Suriname,Suriname,Surinam,سورينام,سورینام,2022,19,-33,,,
AND,"68,79",53,"68,12",50,"50,41",54,"69,12",71,"68,8",91,"87,48",22,Europe - Asie centrale,Andorra,Andorre,Andorra,أندورا,آندور,2022,39,-14,,,
SVN,"68,54",54,"59,32",78,"47,7",65,"79,11",39,"79,94",50,"76,61",56,Europe - Asie centrale,Slovenia,Slovénie,Eslovenia,سلوفينيا,اسلوانی,2022,36,-18,,,
XCD,"68,49",55,"62,91",61,"48,37",62,"68,25",78,"79,8",51,"83,13",36,Amériques,OECS,OECS,OECS,الكاريبي,جزایر کارائیب شرقی,2022,45,-10,,,
ROU,"68,46",56,"66,77",53,"46,77",72,"76,46",49,"81,67",40,"70,63",79,Europe - Asie centrale,Romania,Roumanie,Rumania,رومانيا,رومانی,2022,48,-8,,,
MKD,"68,44",57,"66,16",56,"43,71",83,"81,29",28,"73,17",74,"77,85",53,Europe - Asie centrale,North Macedonia,Macédoine du Nord,República de Macedonia del Norte,مقدونيا الشمالية,مقدونیه شمالی,2022,90,33,,,
ITA,"68,16",58,"65,89",57,"47,52",67,"73,93",59,80,49,"73,48",68,Europe - Asie centrale,Italy,Italie,Italia,إيطاليا,ایتالیا,2022,41,-17,,,
NER,"67,8",59,"62,3",65,"46,73",73,"71,75",64,"76,5",61,"81,69",40,Afrique,Niger,Niger,Niger,النيجر,نیجر,2022,59,0,,,
GHA,"67,43",60,"66,61",54,"47,22",69,"81,42",27,"79,64",53,"62,25",101,Afrique,Ghana,Ghana,Ghana,غانا,غنا,2022,30,-30,,,
XKO,67,61,"64,34",60,"45,24",77,"80,85",31,"74,33",70,"70,26",81,Europe - Asie centrale,Kosovo,Kosovo,Kosovo,كوسوفو,کوسووو,2022,78,17,,,
PNG,"66,66",62,"62,42",63,"45,24",77,"66,08",89,"81,33",44,"78,23",51,Asie-Pacifique,Papua New Guinea,Papouasie-Nouvelle-Guinée,Papúa Nueva Guinea,بابوا غينيا الجديدة,پاپوآ گینه نو,2022,47,-15,,,
MNE,"66,54",63,"62,51",62,"47,67",66,"77,19",47,71,80,"74,33",65,Europe - Asie centrale,Montenegro,Monténégro,Montenegro,الجبل الأسود,مونته‌نگرو,2022,104,41,,,
MUS,"66,07",64,"55,58",91,"47,81",64,"64,16",97,"80,29",48,"82,5",38,Afrique,Mauritius,Maurice,Mauricio,موريشيوس,موریس,2022,61,-3,,,
CYP,"65,97",65,"61,21",70,"42,09",91,"74,56",56,"65,75",101,"86,25",26,Europe - Asie centrale,Cyprus,Chypre,Chipre,قبرص,قبرس,2022,26,-39,,,
POL,"65,64",66,"50,95",110,"57,41",40,"68,95",72,"82,53",36,"68,33",86,Europe - Asie centrale,Poland,Pologne,Polonia,بولندا,لهستان,2022,64,-2,,,
BIH,"65,64",67,"61,56",69,"40,23",101,"79,57",35,"71,86",79,"74,95",61,Europe - Asie centrale,Bosnia and Herzegovina,Bosnie-Herzégovine,Bosnia-Herzegovina,البوسنة والهرسك,بوسنی هرزوگوین,2022,58,-9,,,
ECU,"64,61",68,"60,1",73,"55,44",42,"67,98",79,"69,5",87,"70,03",82,Amériques,Ecuador,Équateur,Ecuador,الإكوادور,اکواتور,2022,96,28,,,
KEN,"64,59",69,"62,42",63,"46,33",75,"72,28",62,78,55,"63,92",96,Afrique,Kenya,Kenya,Kenia,كينيا,کنیا,2022,102,33,,,
HTI,"64,55",70,"59,6",77,"50,34",56,"72,22",63,"80,67",47,"59,91",106,Amériques,Haiti,Haïti,Haití,هايتي,هايیتی,2022,87,17,,,
JPN,"64,37",71,"54,66",96,"53,7",46,"66,23",88,"67,06",96,"80,19",45,Asie-Pacifique,Japan,Japon,Japón,اليابان,ژاپن,2022,67,-4,,,
KGZ,"64,25",72,"59,9",74,"48,64",60,"68,86",73,69,90,"74,83",63,Europe - Asie centrale,Kyrgyzstan,Kirghizstan,Kirguistán,قرغيزستان,قرقیزستان,2022,79,7,,,
SEN,"63,07",73,"59,31",79,"42,13",90,"66,67",86,"72,43",76,"74,84",62,Afrique,Senegal,Sénégal,Senegal,السنغال,سنگال,2022,49,-24,,,
PAN,"62,78",74,"54,24",98,"47,45",68,"64,04",98,74,72,"74,15",67,Amériques,Panama,Panama,Panamá,بنما,پاناما,2022,77,3,,,
LBR,"62,77",75,"55,5",92,"32,8",135,"74,69",55,"82,57",35,"68,3",87,Afrique,Liberia,Liberia,Liberia,ليبيريا,لیبریا,2022,98,23,,,
NPL,"62,67",76,"59,8",75,"40,14",102,"66,08",89,"77,33",59,"69,99",83,Asie-Pacifique,Nepal,Népal,Nepal,نيبال,نپال,2022,106,30,,,
PER,"61,75",77,"66,97",52,"41,84",92,"70,61",66,63,110,"66,35",92,Amériques,Peru,Pérou,Peru,بيرو,پرو,2022,91,14,,,
MLT,"61,55",78,"46,82",121,"41,33",96,"67,98",79,"74,75",69,"76,87",55,Europe - Asie centrale,Malta,Malte,Malta,مالطا,مالت,2022,81,3,,,
SRB,"61,51",79,"47,47",118,"34,92",129,"79,92",34,"74,22",71,"71,03",78,Europe - Asie centrale,Serbia,Serbie,Serbia,صربيا,صربستان,2022,93,14,,,
