ISO,Score,Rank,Political Context,Rank_Pol,Economic Context,Rank_Eco,Legal Context,Rank_Leg,Social Context,Rank_Soc,Safety,Rank_Saf,Zone,Country_EN,Country_FR,Country_ES,Country_AR,Country_FA,Year (N),Rank N-1,Rank evolution,Country_PT,Score N-1,Score evolution
SWZ,"46,42",131,"41,31",142,"35,03",127,"43,86",149,"50,5",144,"61,4",103,Afrique,Eswatini,Eswatini,Esuatini,إسواتيني,اسواتینی,2022,141,10,,,
UGA,"46,35",132,"44,7",130,"36,99",117,"60,96",107,56,128,"33,09",147,Afrique,Uganda,Ouganda,Uganda,أوغندا,اوگاندا,2022,125,-7,,,
UZB,"45,74",133,"44,75",129,"35,71",123,"50,88",136,"53,33",138,"44,03",129,Europe - Asie centrale,Uzbekistan,Ouzbékistan,Uzbekistán,أوزبكستان,اوزبکستان,2022,157,24,,,
DZA,"45,53",134,"41,21",143,"32,4",139,"54,17",127,"55,88",131,"44,02",130,Maghreb - Moyen-Orient,Algeria,Algérie,Argelia,الجزائر,الجزایر,2022,146,12,,,
MAR,"45,42",135,"51,67",104,"28,83",157,"55,81",124,56,128,"34,82",146,Maghreb - Moyen-Orient,Morocco,Maroc,Marruecos,المغرب,مراکش,2022,136,1,,,
RWA,"45,18",136,"42,12",140,"31,89",144,"57,89",117,"55,25",133,"38,76",137,Afrique,Rwanda,Rwanda,Ruanda,رواندا,روندا,2022,156,20,,,
ZWE,"44,94",137,"40,3",150,"32,4",139,"54,17",127,"54,5",136,"43,34",131,Afrique,Zimbabwe,Zimbabwe,Zimbabue,زيمبابوي,زیمبابوه,2022,130,-7,,,
ARE,"44,46",138,"45,45",126,"36,73",118,"32,02",165,"50,5",144,"57,59",111,Maghreb - Moyen-Orient,United Arab Emirates,Émirats arabes unis,Emiratos Árabes Unidos,الإمارات العربية المتحدة,امارات متحده عربی,2022,131,-7,,,
SGP,"44,23",139,"39,09",153,"29,21",156,"34,21",163,"49,25",148,"69,39",84,Asie-Pacifique,Singapore,Singapour,Singapur,سنغافورة,سنگاپور,2022,160,21,,,
SOM,"44,01",140,"51,03",109,"41,22",98,"47,72",141,"61,8",116,"18,27",167,Afrique,Somalia,Somalie,Somalia,الصومال,سومالی,2022,161,21,,,
GNQ,"43,96",141,"42,73",138,"24,49",165,"44,3",147,"44,25",158,"64,04",95,Afrique,Equatorial Guinea,Guinée équatoriale,Guinea Ecuatorial,غينيا الاستوائية,گینه اکوادور,2022,164,23,,,
KHM,"43,48",142,"42,42",139,"27,96",159,"49,65",138,"62,4",113,"34,96",145,Asie-Pacifique,Cambodia,Cambodge,Camboya,كمبوديا,کامبوج,2022,144,2,,,
LBY,"43,16",143,"54,42",97,"34,9",130,"44,91",144,45,155,"36,58",141,Maghreb - Moyen-Orient,Libya,Libye,Libia,ليبيا,لیبی,2022,165,22,,,
BRN,"42,53",144,"40,61",146,"30,61",148,"28,51",171,34,171,"78,91",50,Asie-Pacifique,Brunei Darussalam,Brunei,Brunéi,بروناي,برونی,2022,154,10,,,
COL,"42,43",145,"44,7",130,"32,27",142,"60,42",109,"50,38",146,"24,4",160,Amériques,Colombia,Colombie,Colombia,كولومبيا,کلمبیا,2022,134,-11,,,
LKA,"42,13",146,"40,91",144,"27,04",163,"53,07",132,"48,25",150,"41,37",134,Asie-Pacifique,Sri Lanka,Sri Lanka,Sri Lanka,سري لانكا,سریلانکا,2022,127,-19,,,
PHL,"41,84",147,"44,44",134,"23,13",169,"54,97",126,"61,83",115,"24,83",159,Asie-Pacifique,Philippines,Philippines,Filipinas,الفلبين,فلیپین,2022,138,-9,,,
HKG,"41,64",148,"40,5",147,"35,9",122,"42,58",151,"57,45",125,"31,78",151,Asie-Pacifique,Hong Kong,Hong-Kong,Hong Kong,هونغ كونغ,هنگ کنگ,2022,80,-68,,,
TUR,"41,25",149,"38,38",154,"27,55",161,"52,92",133,55,134,"32,37",149,Europe - Asie centrale,Turkey,Turquie,Turquía,تركيا,ترکیه,2022,153,4,,,
IND,41,150,"40,76",145,"30,36",149,"57,02",120,"56,25",127,"20,61",163,Asie-Pacifique,India,Inde,India,الهند,هند,2022,142,-8,,,
SDN,"40,96",151,"47,05",120,"29,97",151,"41,45",153,51,142,"35,35",143,Afrique,Sudan,Soudan,Sudán,السودان,سودان,2022,159,8,,,
TJK,"40,26",152,"33,79",164,"29,85",152,"48,68",139,46,154,"42,96",132,Europe - Asie centrale,Tajikistan,Tadjikistan,Tayikistán,طاجيكستان,تاجیکستان,2022,162,10,,,
BLR,"39,62",153,"32,93",169,"48,75",59,"37,23",158,"60,33",118,"18,85",164,Europe - Asie centrale,Belarus,Bélarus,Belarús,روسيا البيضاء,روسیه سفید,2022,158,5,,,
AZE,"39,4",154,"37,66",155,"23,76",167,"48,25",140,"58,86",124,"28,48",155,Europe - Asie centrale,Azerbaijan,Azerbaïdjan,Azerbaiyán,أذربيجان,آذربایجان,2022,167,13,,,
RUS,"38,82",155,"36,36",158,"34,84",131,"44,61",146,"51,29",141,27,157,Europe - Asie centrale,Russian Federation,Russie,Rusia,روسيا,روسیه,2022,150,-5,,,
AFG,"38,27",156,"44,65",132,"43,88",82,"42,54",152,"43,33",161,"16,96",171,Asie-Pacifique,Afghanistan,Afghanistan,Afganistán,أفغانستان,افغانستان,2022,122,-34,,,
PAK,"37,99",157,"39,57",152,"31,92",143,"53,26",131,"47,43",152,"17,75",168,Asie-Pacifique,Pakistan,Pakistan,Pakistán,باكستان,پاکستان,2022,145,-12,,,
KWT,"37,87",158,"32,73",170,"19,39",175,"36,84",159,27,176,"73,41",70,Maghreb - Moyen-Orient,Kuwait,Koweït,Kuwait,الكويت,کویت,2022,105,-53,,,
VEN,"37,78",159,"33,7",165,"31,73",145,"44,74",145,"47,5",151,"31,22",152,Amériques,Venezuela,Venezuela,Venezuela,فنزويلا,ونزوئلا,2022,148,-11,,,
NIC,"37,09",160,"37,45",156,"38,78",108,"31,75",166,"49,8",147,"27,68",156,Amériques,Nicaragua,Nicaragua,Nicaragua,نيكاراغوا,نیکاراگوئه,2022,121,-39,,,
LAO,"36,64",161,"36,06",159,"20,92",172,"31,58",167,44,160,"50,64",123,Asie-Pacifique,Lao People's Democratic Republic,Laos,Laos,لاوس,لائوس,2022,172,11,,,
BGD,"36,63",162,"42,12",140,"32,48",138,"44,15",148,"48,5",149,"15,88",172,Asie-Pacifique,Bangladesh,Bangladesh,Bangladés,بنغلاديش,بنگلادش,2022,152,-10,,,
OMN,"35,99",163,"32,73",170,"23,98",166,"18,42",179,45,155,"59,82",107,Maghreb - Moyen-Orient,Oman,Oman,Omán,عمان,عمان,2022,133,-30,,,
DJI,"35,75",164,"32,73",170,"16,12",177,"37,72",157,"37,6",165,"54,56",117,Afrique,Djibouti,Djibouti,Yibuti,جيبوتي,جیبوتی,2022,176,12,,,
HND,"34,61",165,"33,33",167,"31,63",146,"36,84",159,31,173,"40,22",136,Amériques,Honduras,Honduras,Honduras,هندوراس,هندوراس,2022,151,-14,,,
SAU,"33,71",166,"37,27",157,"33,67",132,"22,37",177,"36,5",167,"38,75",138,Maghreb - Moyen-Orient,Saudi Arabia,Arabie saoudite,Arabia Saudita,المملكة العربية السعودية,عربستان سعودی,2022,170,4,,,
BHR,"30,97",167,"35,15",161,"21,43",170,"28,95",170,"39,67",164,"29,65",153,Maghreb - Moyen-Orient,Bahrain,Bahreïn,Baréin,البحرين,بحرین,2022,168,1,,,
EGY,"30,23",168,"30,91",174,"23,47",168,"34,87",162,"44,25",158,"17,64",169,Maghreb - Moyen-Orient,Egypt,Égypte,Egipto,مصر,مصر,2022,166,-2,,,
YEM,"29,14",169,"33,03",168,"27,55",161,"38,6",156,35,169,"11,54",177,Maghreb - Moyen-Orient,Yemen,Yémen,Yemen,اليمن,یمن,2022,169,0,,,
PSE,"28,98",170,"35,45",160,"15,82",178,"36,4",161,"36,5",167,"20,74",162,Maghreb - Moyen-Orient,Palestine,Palestine,Palestina,فلسطين,فلسطین,2022,132,-38,,,
SYR,"28,94",171,"33,51",166,"27,62",160,"33,58",164,"36,57",166,"13,39",175,Maghreb - Moyen-Orient,Syrian Arab Republic,Syrie,Siria,سوريا,سوریه,2022,173,2,,,
IRQ,"28,59",172,"34,14",163,"20,07",173,"29,82",168,"40,67",163,"18,27",166,Maghreb - Moyen-Orient,Iraq,Irak,Irak,العراق,عراق,2022,163,-9,,,
CUB,"27,32",173,"27,27",177,"39,8",104,"15,79",180,"27,5",175,"26,24",158,Amériques,Cuba,Cuba,Cuba,كوبا,کوبا,2022,171,-2,,,
VNM,"26,11",174,"32,32",173,"18,71",176,"27,49",172,"34,67",170,"17,37",170,Asie-Pacifique,Vietnam,Viêt Nam,Vietnam,فيتنام,ویتنام,2022,175,1,,,
CHN,"25,17",175,"27,45",176,"26,02",164,"23,25",175,"33,3",172,"15,84",173,Asie-Pacifique,China,Chine,China,الصين,چین,2022,177,2,,,
MMR,"25,03",176,"40,4",149,"29,25",155,"20,18",178,"30,67",174,"4,63",180,Asie-Pacifique,Myanmar,Birmanie,Birmania,بورما,برمه,2022,140,-36,,,
TKM,"25,01",177,25,178,"11,73",179,"29,61",169,23,178,"35,69",142,Europe - Asie centrale,Turkmenistan,Turkménistan,Turkmenistán,تركمانستان,ترکمنستان,2022,178,1,,,
IRN,"23,22",178,"30,71",175,"21,32",171,"26,71",173,"23,78",177,"13,61",174,Maghreb - Moyen-Orient,Islamic Republic of Iran,Iran,Irán,إيران,ایران,2022,174,-4,,,
ERI,"19,62",179,"22,22",180,"19,73",174,"25,15",174,"19,67",179,"11,36",178,Afrique,Eritrea,Érythrée,Eritrea,إريتريا,اریتره,2022,180,1,,,
PRK,"13,92",180,"22,42",179,0,180,"22,81",176,12,180,"12,38",176,Asie-Pacifique,Democratic People's Republic of Korea,Corée du Nord,Corea del Norte,كوريا الشمالية,کره شمالی,2022,179,-1,,,
NOR,"95,18",1,"96,54",1,"92,46",1,"94,92",1,"95,98",1,"95,98",3,UE Balkans,Norway,Norvège,Noruega,النرويج,نروژ,2023,1,0,Noruega ,"92,65","2,53"
IRL,"89,91",2,"93,91",2,"82,11",7,"82,55",19,"94,03",3,"96,94",2,UE Balkans,Ireland,Irlande,Irlanda,أيرلندا,ایرلند,2023,6,4,Irlanda ,"88,3","1,61"
DNK,"89,48",3,"91,95",4,"85,17",4,"87,5",5,"87,78",17,95,5,UE Balkans,Denmark,Danemark,Dinamarca,الدنمارك,دانمارک,2023,2,-1,Dinamarca ,"90,27","-0,79"
SWE,"88,15",4,"92,58",3,"86,08",3,"88,74",4,"88,64",14,"84,72",40,UE Balkans,Sweden,Suède,Suecia,السويد,سوئد,2023,3,-1,Suécia ,"88,84","-0,69"
FIN,"87,94",5,"91,55",5,"83,8",5,"84,86",11,"89,17",13,"90,35",23,UE Balkans,Finland,Finlande,Finlandia,فنلندا,فنلاند,2023,5,0,Finlândia ,"88,42","-0,48"
NLD,87,6,"88,93",7,"89,08",2,"90,3",3,"86,53",24,"80,18",67,UE Balkans,Netherlands,Pays-Bas,Países Bajos,هولندا,هلند,2023,28,22,Países Baixos ,"77,93","9,07"
LTU,"86,79",7,88,9,"77,65",8,"84,53",12,"89,43",12,"94,33",8,UE Balkans,Lithuania,Lituanie,Lituania,ليتوانيا,لیتوانی,2023,9,2,Lituânia ,"84,14","2,65"
EST,"85,31",8,"85,36",17,"76,75",10,"82,88",18,"90,75",9,"90,79",20,UE Balkans,Estonia,Estonie,Estonia,إستونيا,استونی,2023,4,-4,Estônia ,"88,83","-3,52"
PRT,"84,6",9,"86,32",13,"71,02",20,"84,38",13,"89,77",11,"91,48",16,UE Balkans,Portugal,Portugal,Portugal,البرتغال,پرتغال,2023,7,-2,Portugal ,"87,07","-2,47"
TLS,"84,49",10,"81,88",20,"74,51",13,"83,02",15,"87,12",20,"95,93",4,Asie-Pacifique,East Timor,Timor oriental,Timor Oriental,تيمور الشرقية,تیمور شرقی,2023,17,7,Timor Leste ,"81,89","2,6"
LIE,"84,47",11,"85,63",16,"69,93",23,"81,45",24,"90,91",7,"94,44",6,UE Balkans,Liechtenstein,Liechtenstein,Liechtenstein,ليختنشتاين,لیختن‌اشتاین,2023,10,-1,Liechtenstein ,"84,03","0,44"
CHE,"84,4",12,"87,42",10,"72,79",15,"77,95",37,"92,33",4,"91,52",15,UE Balkans,Switzerland,Suisse,Suiza,سويسرا,سويیس,2023,14,2,Suíça ,"82,72","1,68"
NZL,"84,23",13,"89,69",6,"77,45",9,"78,62",35,"84,09",30,"91,3",17,Asie-Pacifique,New Zealand,Nouvelle-Zélande,Nueva Zelanda,نيوزيلاندا,زلاند نو,2023,11,-2,Nova Zelândia ,"83,54","0,69"
CZE,"83,58",14,"82,19",19,"65,52",28,"86,64",6,"91,29",6,"92,27",11,UE Balkans,Czechia,Tchéquie,Chequia,التشيك, چک,2023,20,6,Chéquia,"80,54","3,04"
CAN,"83,53",15,"88,13",8,"72,22",17,"86,48",7,"88,26",15,"82,56",54,Amériques,Canada,Canada,Canadá,كندا,کانادا,2023,19,4,Canadá ,"81,74","1,79"
LVA,"83,27",16,"85,69",15,"73,97",14,"79,45",32,"85,98",25,"91,26",18,UE Balkans,Latvia,Lettonie,Letonia,لاتفيا,لتوانی,2023,22,6,Letônia ,"79,17","4,1"
SVK,"83,22",17,"78,04",25,"75,16",11,"82,96",17,"89,85",10,"90,07",24,UE Balkans,Slovakia,Slovaquie,Eslovaquia,سلوفاكيا,اسلواکی,2023,27,10,Eslováquia ,"78,37","4,85"
ISL,"83,19",18,"86,04",14,"68,35",27,"82,35",20,"87,01",22,"92,22",12,UE Balkans,Iceland,Islande,Islandia,أيسلندا,ایسلند,2023,15,-3,Islândia ,"82,69","0,5"
WSM,"82,15",19,"76,88",27,"72,55",16,"67,92",67,"94,32",2,"99,09",1,Asie-Pacifique,Samoa,Samoa,Samoa,ساموا,ساموآ,2023,45,26,Samoa ,"71,39","10,76"
LUX,"81,98",20,"87,42",10,"71,94",18,"76,77",45,"82,1",34,"91,67",14,UE Balkans,Luxembourg,Luxembourg,Luxemburgo,لوكسمبورغ,لوکزامبورگ,2023,21,1,Luxemburgo ,"79,81","2,17"
DEU,"81,91",21,"87,33",12,"82,31",6,"85,85",9,"87,19",19,"66,88",96,UE Balkans,Germany,Allemagne,Alemania,ألمانيا,آلمان,2023,16,-5,Alemanha ,"82,04","-0,13"
NAM,"80,91",22,"75,75",29,"70,78",21,"79,81",29,"87,73",18,"90,48",22,Afrique,Namibia,Namibie,Namibia,ناميبيا,نامیبیا,2023,18,-4,Namíbia ,"81,84","-0,93"
CRI,"80,2",23,"65,94",48,"70,59",22,"85,93",8,"87,97",16,"90,56",21,Amériques,Costa Rica,Costa Rica,Costa Rica,كوستاريكا,کاستاریکا,2023,8,-15,Costa Rica ,"85,92","-5,72"
FRA,"78,72",24,"79,44",22,"68,87",25,"81,56",22,"87,1",21,"76,64",81,UE Balkans,France,France,Francia,فرنسا,فرانسه,2023,26,2,França ,"78,53","0,19"
ZAF,"78,6",25,"77,26",26,"64,1",29,"83,02",15,"84,7",28,"83,9",48,Afrique,South Africa,Afrique du Sud,Sudáfrica,جنوب أفريقيا,آفریقای جنوبی,2023,35,10,África do Sul ,"75,56","3,04"
GBR,"78,51",26,"80,88",21,"74,71",12,"73,49",50,"81,36",37,"82,12",59,UE Balkans,United Kingdom,Royaume-Uni,Reino Unido,المملكة المتحدة,بریتانیا,2023,24,-2,Reino Unido,"78,71","-0,2"
AUS,"78,24",27,"83,85",18,"68,49",26,"69,41",63,"81,98",35,"87,46",33,Asie-Pacifique,Australia,Australie,Australia,أستراليا,استرالیا,2023,39,12,Austrália ,"73,77","4,47"
MDA,"77,62",28,"79,24",23,"57,95",44,"83,12",14,"85,86",26,"81,91",61,EEAC,Moldova,Moldavie,Moldavia,مولدوفا,مولداوی,2023,40,12,Moldávia ,"73,47","4,15"
AUT,"77,3",29,"74,01",33,"61,85",32,"77,32",39,"84,14",29,"89,2",26,UE Balkans,Austria,Autriche,Austria,النمسا,اتریش,2023,31,2,Áustria ,"76,74","0,56"
TTO,"76,54",30,"71,25",40,"60,78",34,"64,15",81,"92,05",5,"94,44",6,Amériques,Trinidad and Tobago,Trinité-et-Tobago,Trinidad y Tobago,ترينيداد وتوباغو,ترنتی و توبوگو,2023,25,-5,Trinidad e Tobago ,"78,68","-2,14"
BEL,"76,47",31,"79,06",24,"62,09",31,"78,3",36,"82,39",33,"80,53",65,UE Balkans,Belgium,Belgique,Bélgica,بلجيكا,بلژیک,2023,23,-8,Bélgica ,"78,86","-2,39"
JAM,"75,89",32,"67,75",43,"71,37",19,"68,49",65,"86,59",23,"85,24",39,Amériques,Jamaica,Jamaïque,Jamaica,جامايكا,جامائیکا,2023,12,-20, Jamaica ,"83,35","-7,46"
CPV,"75,72",33,"73,86",34,"60,78",34,"73,76",49,"80,17",42,"90,01",25,Afrique,Cabo Verde,Cap-Vert,Cabo Verde,الرأس الأخضر,کیپورد,2023,36,3,Cabo Verde ,"75,37","0,35"
SYC,"75,71",34,"74,38",32,"59,41",38,"76,98",43,"80,23",41,"87,56",32,Afrique,Seychelles,Seychelles,Seychelles,سيشيل,سی‌شل,2023,13,-21,Seychelles ,"83,33","-7,62"
TWN,"75,54",35,"73,83",35,"53,4",55,"80,75",25,"77,65",51,"92,06",13,Asie-Pacifique,Taiwan,Taïwan,Taiwán,تايوان,تایوان,2023,38,3,Taiwan ,"74,08","1,46"
ESP,"75,37",36,"72,12",38,"60,33",37,"78,74",33,"83,13",31,"82,51",55,UE Balkans,Spain,Espagne,España,إسبانيا,اسپانیا,2023,32,-4,Espanha ,"76,71","-1,34"
AND,"75,05",37,"74,69",31,"55,39",49,"77,12",42,"75,28",62,"92,78",10,UE Balkans,Andorra,Andorre,Andorra,أندورا,آندور,2023,53,16,Andorra ,"68,79","6,26"
MKD,"74,35",38,"72,33",36,"54,95",53,"84,99",10,"78,2",50,"81,27",64,UE Balkans,North Macedonia,Macédoine,República de Macedonia del Norte,مقدونيا الشمالية,مقدونیه شمالی ,2023,57,19,Macedônia do Norte ,"68,44","5,91"
MNE,"74,28",39,"72,13",37,"58,04",42,"81,51",23,"76,48",54,"83,25",50,UE Balkans,Montenegro,Monténégro,Montenegro,الجبل الأسود,مونته‌نگرو,2023,63,24,Montenegro ,"66,54","7,74"
ARG,"73,36",40,"75,25",30,"49,8",71,"90,66",2,"76,82",53,"74,27",86,Amériques,Argentina,Argentine,Argentina,الأرجنتين,آرژانتین,2023,29,-11,Argentina ,"77,28","-3,92"
ITA,"72,05",41,"64,2",52,"55,04",51,"80,32",27,"73,86",68,"86,83",35,UE Balkans,Italy,Italie,Italia,إيطاليا,ایتالیا,2023,58,17,Itália ,"68,16","3,89"
HRV,"71,95",42,"67,56",44,"51,07",65,"81,82",21,"74,59",66,"84,71",43,UE Balkans,Croatia,Croatie,Croacia,كرواتيا,کرواسی,2023,48,6,Croácia ,"70,42","1,53"
DOM,"71,88",43,"71,48",39,"52,45",60,"76,53",46,"76,42",55,"82,5",56,Amériques,Dominican Republic,République dominicaine,República Dominicana,جمهورية الدومينيكان,جمهوری دومینیک,2023,30,-13,República Dominicana ,"76,9","-5,02"
TON,"71,29",44,"70,31",42,"56,86",46,"60,38",95,75,63,"93,89",9,Asie-Pacifique,Tonga,Tonga,Tonga,تونغا,تونگا,2023,49,5,Tonga ,"69,74","1,55"
USA,"71,22",45,"76,56",28,"69,76",24,"77,31",40,80,43,"52,49",120,Amériques,United States,États-Unis,Estados Unidos,الولايات المتحدة,ایالات متحده امریکا,2023,42,-3,Estados Unidos ,"72,74","-1,52"
GMB,"71,06",46,"66,88",46,"59,22",39,"60,75",93,85,27,"83,46",49,Afrique,Gambia,Gambie,Gambia,غامبيا,گامبیا,2023,50,4,Gâmbia ,"69,25","1,81"
KOR,"70,83",47,"63,51",54,"55,81",48,"70,03",60,"77,53",52,"87,26",34,Asie-Pacifique,South Korea,Corée du Sud,Corea del Sur,كوريا الجنوبية,کره جنوبی,2023,43,-4,Coreia do Sul ,"72,11","-1,28"
SUR,"70,62",48,"63,13",55,"60,78",34,"47,17",132,"90,91",7,"91,11",19,Amériques,Suriname,Surinam,Surinam,سورينام,سورینام,2023,52,4,Suriname ,"68,95","1,67"
ARM,"70,61",49,"63,75",53,"48,53",76,"73,82",48,"82,95",32,"83,98",46,EEAC,Armenia,Arménie,Armenia,أرمينيا,ارمنستان,2023,51,2,Armênia ,"68,97","1,64"
SVN,"70,59",50,"66,25",47,"46,41",92,"79,64",30,"75,95",59,"84,72",40,UE Balkans,Slovenia,Slovénie,Eslovenia,سلوفينيا,اسلوانی,2023,54,4,Eslovênia ,"68,54","2,05"
BLZ,"70,49",51,"61,98",62,"53,92",54,"68,11",66,"79,55",46,"88,89",27,Amériques,Belize,Bélize,Belice,بليز,بلیز,2023,47,-4,Belize ,"70,67","-0,18"
URY,"70,33",52,"62,73",58,"55,08",50,"78,73",34,"74,9",65,"80,2",66,Amériques,Uruguay,Uruguay,Uruguay,أوروغواي,اروگويه,2023,44,-8,Uruguai ,"72,03","-1,7"
ROU,"69,04",53,"59,65",68,"49,24",73,"71,86",53,"81,44",36,"83,03",51,UE Balkans,Romania,Roumanie,Rumania,رومانيا,رومانی,2023,56,3,Romênia ,"68,46","0,58"
CIV,"68,83",54,"66,98",45,"58,01",43,"71,07",54,"76,33",56,"71,79",90,Afrique,Côte d'Ivoire,Côte d'Ivoire,Costa de Marfil,ساحل العاج,ساحل عاج,2023,37,-17,Costa do Marfim ,"74,46","-5,63"
CYP,"68,62",55,"64,66",50,"53,12",56,"71,89",52,"64,98",85,"88,44",29,UE Balkans,Cyprus,Chypre,Chipre,قبرص,قبرس,2023,65,10,Chipre ,"65,97","2,65"
XKX,"68,38",56,"62,95",56,"50,28",68,"80,26",28,"75,49",61,"72,95",88,UE Balkans,Kosovo,Kosovo,Kosovo,كوسوفو,کوسووو,2023,61,5,Kosovo ,67,"1,38"
POL,"67,66",57,"50,15",112,"55,02",52,"69,03",64,"78,28",49,"85,82",37,UE Balkans,Poland,Pologne,Polonia,بولندا,لهستان,2023,66,9,Polônia ,"65,64","2,02"
BFA,"67,64",58,"62,81",57,"58,33",41,"67,45",69,"81,25",38,"75,55",83,Afrique,Burkina Faso,Burkina Faso,Burkina Faso,بوركينا فاسو,بورکینافاسو,2023,41,-17,Burkina Faso ,"73,12","-5,48"
PNG,"67,62",59,"59,58",69,"51,31",64,"66,35",74,"71,97",72,"88,89",27,Asie-Pacifique,Papua New Guinea,Papouasie-Nouvelle-Guinée,Papúa Nueva Guinea,بابوا غينيا الجديدة,پاپوآ گینه نو,2023,62,3,Papua-Nova Guiné ,"66,66","0,96"
GUY,"67,5",60,"54,69",93,"58,82",40,"59,43",100,"79,83",45,"84,72",40,Amériques,Guyana,Guyana,Guyana,غويانا,گیانا,2023,34,-26,Guiana ,"76,41","-8,91"
NER,"66,84",61,"62,68",60,"41,6",118,"69,54",62,"74,03",67,"86,35",36,Afrique,Niger,Niger,Niger,النيجر,نیجر,2023,59,-2,Níger ,"67,8","-0,96"
GHA,"65,93",62,"61,88",63,"47,94",80,"79,62",31,"78,98",47,"61,25",103,Afrique,Ghana,Ghana,Ghana,غانا,غنا,2023,60,-2,Gana ,"67,43","-1,5"
MUS,"65,56",63,"52,75",104,"49,9",70,"61,98",91,"81,02",39,"82,13",58,Afrique,Mauritius,Maurice,Mauricio,موريشيوس,موریس,2023,64,1,Maurício ,"66,07","-0,51"
BIH,"65,43",64,"55,27",90,"45,1",100,"77,54",38,"71,02",73,"78,24",76,UE Balkans,Bosnia-Herzegovina,Bosnie-Herzégovine,Bosnia-Herzegovina,البوسنة والهرسك,بوسنی هرزوگوین,2023,67,3,Bósnia-Herzegóvina ,"65,64","-0,21"
BWA,"64,61",65,"55,63",84,"50,44",67,"58,07",103,"78,79",48,"80,14",69,Afrique,Botswana,Botswana,Botsuana,بوتسوانا,بوستاوانا,2023,95,30,Botsuana ,"58,49","6,12"
LBR,"64,34",66,"55,5",86,"39,61",127,"76,98",43,80,43,"69,62",94,Afrique,Liberia,Libéria,Liberia,ليبيريا,لیبریا,2023,75,9,Libéria ,"62,77","1,57"
LSO,"64,29",67,"64,38",51,"44,85",104,"55,97",112,"68,47",76,"87,78",30,Afrique,Lesotho,Lesotho,Lesoto,ليسوتو,لسو‌تو,2023,88,21,Lesoto ,"59,39","4,9"
JPN,"63,95",68,"55,75",83,"56,32",47,"66,39",73,"59,32",105,"81,99",60,Asie-Pacifique,Japan,Japon,Japón,اليابان,ژاپن,2023,71,3,Japão ,"64,37","-0,42"
PAN,"63,67",69,"57,5",77,"51,63",62,"64,47",80,"64,77",86,80,70,Amériques,Panama,Panama,Panamá,بنما,پاناما,2023,74,5,Panamá ,"62,78","0,89"
TGO,"63,06",70,"54,5",95,"46,86",89,"60,19",96,"69,32",74,"84,45",44,Afrique,Togo,Togo,Togo,توغو,توگو,2023,100,30,Togo ,"57,17","5,89"
BGR,"62,98",71,"58,25",73,"37,91",133,"70,25",57,"65,53",81,"82,94",53,UE Balkans,Bulgaria,Bulgarie,Bulgaria,بلغاريا,بلغارستان,2023,91,20,Bulgária ,"59,12","3,86"
HUN,"62,96",72,"45,63",130,"43,94",112,"70,94",55,"72,62",70,"81,66",62,UE Balkans,Hungary,Hongrie,Hungría,المجر,مجارستان,2023,85,13,Hungria ,"59,8","3,16"
MYS,"62,83",73,"55,31",89,"52,94",57,"44,58",138,"75,85",60,"85,46",38,Asie-Pacifique,Malaysia,Malaisie,Malasia,ماليزيا,مالزی,2023,113,40,Malásia ,"51,55","11,28"
SLE,"62,55",74,"65,45",49,"47,9",81,"65,9",77,"72,24",71,"61,27",102,Afrique,Sierra Leone,Sierra Leone,Sierra Leona,سيراليون,سئیرالئون,2023,46,-28,Serra Leoa ,"71,03","-8,48"
COM,"62,25",75,"55,09",92,"49,72",72,"65,36",78,"61,85",92,"79,21",73,Afrique,Comoros,Comores,Comoras,جزر القمر,کومور,2023,83,8,Comores ,"60,16","2,09"
CTU,"61,73",76,"56,18",80,"42,92",114,"63,1",87,"63,45",90,"83,01",52,UE Balkans,Northern Cyprus,Chypre du Nord,Chipre del Norte,قبرص الشمالية,قبرس شمالی,2023,81,5,Chipre do Norte ,"61,08","0,65"
GEO,"61,69",77,"48,4",121,"47,17",87,76,47,75,63,"61,9",100,EEAC,Georgia,Géorgie,Georgia,جورجيا,گرجستان,2023,89,12,Geórgia ,"59,3","2,39"
GNB,"61,57",78,"56,09",81,"51,72",61,"70,05",59,"65,06",84,"64,95",98,Afrique,Guinea-Bissau,Guinée-Bissau,Guinea-Bisáu,غينيا بيساو,گینه بیسائو,2023,92,14,Guiné-Bissau ,"58,79","2,78"
UKR,"61,19",79,"60,63",65,"63,48",30,"80,66",26,"80,4",40,"20,78",179,EEAC,Ukraine,Ukraine,Ucrania,أوكرانيا,اوکراين,2023,106,27,Ucrânia ,"55,76","5,43"
ECU,"60,51",80,"60,52",66,"61,6",33,"70,13",58,"61,55",93,"48,76",128,Amériques,Ecuador,Équateur,Ecuador,الإكوادور,اکواتور,2023,68,-12,Equador ,"64,61","-4,1"
COG,"60,42",81,"57,58",76,"45,71",97,"62,15",90,"58,52",108,"78,17",77,Afrique,Congo-Brazzaville,Congo-Brazzaville, Congo-Brazzaville,الكونغو–برازافيل,کنگو برازاویل,2023,93,12,Congo-Brazzaville ,"58,64","1,78"
MWI,"60,34",82,"52,57",106,"47,6",83,"66,56",72,"60,23",98,"74,73",84,Afrique,Malawi,Malawi,Malaui,مالاوي,مالاوی,2023,80,-2,Malaui ,"61,4","-1,06"
